,id,texto,Re_tweet
40,40,"RT @andsouz11: @ThiagoAstor @Bancointer @nubank Para de assistir sbt, eles transmitem libertadores",S
41,41,@itau NUNCA ABRAM CONTA NO ITAÚ!! ESCOLHAM O @nubank MESMO!! DO NADA O BANCO ME LIGA FALANDO QUE EU TO DEVENDO 4MIL REAIS DO NADA!! PRA RESOLVER TENHO QUE IR EM UMA AGENCIA DE OUTRA CIDADE PQ AS OUTRAS AGENCIAS N PODEM FAZER NADA!! UM LIXOOOO,N
42,42,@nubank @Anitta Iai nubank vai colocar limite pra mim quando ?? Tem 6 meses que tô usando o cartão e não tenho nem 10 reais de limite 🤡,N
43,43,@RBLima7 @wnetoo @nubank Eu não tanko é a foto do games Eduu reclamando de banco KKKKKKKKKK,N
44,44,Que Deus te pague @nubank 🙏🏻,N
45,45,@paulinharm25 @nubank Segurando o preso a toa.,N
46,46,"@Wanderley @nubank Estranho pq qdo fui vítima de golpe, o NUBANK bloqueou a conta e imediatamente restituiu o valor com a ressalva q após a investigação poderia fazer o estorno.
Agora,  comentários q misturam coisas c/ a Anita estão apenas atrás de lides pq uma coisa não tem nada a ver com a outra",N
47,47,@lelo_rodri @Bancointer @nubank Pagarei minha Heineken com meu cartão Roxo da Nubank.,N
48,48,@JAthleticano @ThiagoAstor @Bancointer @nubank Tu é burro em?,N
49,49,"@m_pires03 @Joohnnyto @HataeTutu @nubank Olá! Para melhor análise, caso resida no estado de São Paulo, acesse https://t.co/tILIKV4ket  e faça a reclamação.",N
50,50,"Alô, @nubank @Inter @C6Bank estou avaliando melhores opções para ter um cartão Black com acesso vip as salas de aeroportos. Tenho 4 palestras sobre comunicação estratégica pelo WhatsApp marcadas pelo Brasil e quero aproveitar benefícios. O meu @itau @LATAM_BRA não me ajuda. https://t.co/Dtri6Tterp",N
51,51,"@MarvilaTalita @nubank Né  
Tô aqui tá expectativa também",N
52,52,@nubank Ok 😭😭😭😭,N
53,53,Não consigo acessar minha própria conta do @nubank pq eles não enviam o código de verificação no meu e-mail infernooooooooooooooo,N
54,54,@johnislan @ThiagoAstor @Bancointer @nubank Tua coroa deve ser rubro negra tambem pq adora um grandao,N
55,55,@nubank @collecteez Ok obrigadaaaa,N
56,56,@collecteez @nubank Cê viu,N
57,57,"@nubank @goyangiiwonie Caraca, responderam rapidao",N
58,58,@giwrobl @nubank Agora a viagem vem,N
59,59,Decepcionada q o @nubank não me mandou um e-mail e de feliz aniversário ainda 😭,N
60,60,"@Lorriene9 @Joohnnyto @nubank Olá! Consumidores com problemas poderão registrar uma reclamação. Para melhor análise, caso resida no estado de São Paulo, acesse https://t.co/tILIKV4ket .",N
61,61,@collecteez @nubank me da a opção de pix no crédito lendas,N
62,62,"@1Staud @Joohnnyto @nubank Olá! Consumidores com problemas poderão registrar uma reclamação. Para melhor análise, caso resida no estado de São Paulo, acesse https://t.co/tILIKV4ket .",N
63,63,"@nubank pelo amor de Deus eu fui vítima de um golpe, me ajuda 😭 eu preciso pagar meu cartão plmds 😭😭😭😭😭😭😭😭😭😭",N
64,64,"Tô tentando pagar a fatura do Nubank e o aplicativo da dando que tô com problema de rede, sendo que não estou, vai ficar sem receber hein @nubank depois não chora",N
65,65,Agora que o @nubank lançou as caixinhas que eram meu sonho pra organizar minha grana eu nunca mais abandono eles mesmo 🤣,N
66,66,"Peço pra enviar o e-mail com o código de autorização e esse e-mail NÃO CHEGA.
Nubank?????? MEU DINHEIRO????? @nubank",N
67,67,"@LucasSa09591596 @nubank porra q merda, se quisee fazer um “pix” é só ir em “conta” depois em “transferir” mas n sei se cai na mesma hora",N
68,68,"@nubank por favor né , cadê a parte da conta ? https://t.co/ACUaqB0DzD",N
69,69,@stockpickers_ O meu pedacinho do @nubank,N
70,70,@irnehyat @jujucof @nubank A tentação de pegar esses 2.000 e fugir do país,N
71,71,@nubank homebroker fora de novo... aceito sugestão de corretoras.,N
72,72,"Alo @nubank como faco pra saber quanto tenho, pra mandar pix, pra viver se o app ta tudo errado? Ajeita isso ai logo porra",N
73,73,@nubank Bitch better have my Money!,N
74,74,"@ThiagoAstor @Bancointer @nubank Cara vc nunca mais vai tomar Amstel, pois ela patrocina a Libertadores!!🤪😜🤪😜",N
75,75,"@wnetoo @nubank Por tudo que ando vendo, anda sendo um dos piores bancos... O tanto de problema não resolvido que já vi nos últimos meses com essa empresa aí é palhaçada.",N
76,76,@LeoFontes1981 @Nandax_3 @nubank igual aqui,N
77,77,RT @rock_verde: @Wanderley @nubank Aconteceu a mesma coisa comigo. Avisei o banco Inter de uma conta que estava aplicando golpe e nem se in…,S
78,78,"@nubank o q esta acontecendo?
Não consigo ver meu saldo nem fazer pix,passei vergonha 😡",N
79,79,"Nubank: estamos usando a taxa correta!
Eu: eu trabalho com isso, estão usando a errada!
Nu: por favor aguarde 7 dias até seja confirmada a compra.

Em 7 dias não vai mudar e eu vou ter que entrar em contato de novo pra pedir algo que eu to pedindo hoje! @nubank obrigado por nada!",N
80,80,Bora @nubank... Libera logo esse empréstimo. Que enrolação.,N
81,81,"@nubank ajuda! Desligou do meu celular o app. Segui todos os passos. Mudei a senha. E depois pede um código q envia por e-mail, mas não enviam o código. E eu não consigo entrar no App. Me ajuda!",N
82,82,"E o @nubank cortou meu rendimento na conta corrente, agora só a partir de 30 dias, hora de caçar outro banco.",N
83,83,@Wanderley @nubank Aconteceu a mesma coisa comigo. Avisei o banco Inter de uma conta que estava aplicando golpe e nem se interessaram!!!,N
84,84,"@Nandax_3 @nubank Estou tentando ver isso também, achei que era só no meu",N
85,85,"#nubank bugadaço!!!
O saldo na conta está diferente do que de fato tem em conta... Aliás, ultimamente @nubank tá trixxxte.",N
86,86,CADE O SALDO DA MINHA CONTA HEIN @nubank?????,N
87,87,RT @FlavioMacs: Caralho @nubank que merda que tá acontecendo com esse App,S
88,88,@jujucof @nubank Meu sumiu tudo,N
89,89,"@pedromlkdaora @Joohnnyto @nubank Olá! Caso não haja solução diretamente com a empresa,  e resida no estado de SP, acesse https://t.co/8vrFpgBrNq , digitalize os documentos referentes ao problema e faça a reclamação.",N
90,90,"@biiabrighenti @Joohnnyto @nubank Olá! Caso não haja solução diretamente com a empresa,  e resida no estado de SP, acesse https://t.co/8vrFpgBrNq , digitalize os documentos referentes ao problema e faça a reclamação.",N
91,91,"@ysmncuel @Joohnnyto @nubank Olá! Para melhor análise, caso resida no estado de São Paulo, acesse https://t.co/tILIKV4ket  e faça a reclamação.",N
92,92,"@maarianapaula @Joohnnyto @nubank Olá! Para melhor análise, caso resida no estado de São Paulo, acesse https://t.co/tILIKV4ket  e faça a reclamação.",N
93,93,@nubank fdm nunca aumenta meu limite😔,N
94,94,Caralho @nubank que merda que tá acontecendo com esse App,N
95,95,"@ghutyara @nubank Olá! Consumidores com problemas poderão registrar uma reclamação. Para melhor análise, caso resida no estado de São Paulo, acesse https://t.co/tILIKV4ket .",N
96,96,"Cada vez mais ciente q a lógica de atendimento das empresas é: ""vamos te vencer pelo cansaço, mesmo se vc tiver certo, e se nós considerarmos q não está, vamos te fazer gastar mais""
obrigado @nubank pela terrível experiência de atendimento.
recomendo muito (que fujam)",N
97,97,"Meu app da @nubank atualizou e bugou tudo, n tem aparece nem quanto tem de dinheiro.. nem pra fazer pix nada, que lixooooo",N
98,98,"@JohnAzedo @nubank Tenho o C6 e a única experiência ruim que tive dele foi quando meu cartão foi roubado e eles levaram mais de um mês para entregar outro, e quando o cartão não quer funcionar nos dias de manutenção deles 🤡 mas quero sair do Nubank e to procurando outras opções",N
